event_name,county,city,month,date_or_date_range,category,expected_visitor_level,official_website,reference_site_1,reference_site_2,reference_site_3,instagram,tiktok,facebook,youtube
Monterey Car Week (umbrella event),Monterey,"Countywide (Monterey, Carmel, Pebble Beach, Seaside, Salinas)",August,"August 7-16, 2026",Automotive / Motorsports,Very High,,https://www.seemonterey.com/events/monterey-car-week/,https://whatsupmonterey.com/events,https://www.montereyhotel.com/local-events,,,,
Monterey Pre-Reunion & Corkscrew Hillclimb,Monterey,Salinas (WeatherTech Raceway Laguna Seca),August,"August 8-9, 2026",Motorsports,High,https://weathertechraceway.com/,https://www.weathertechracing.com/2026-full-schedule,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://whatsupmonterey.com/events,,,,
Automobilia Collectors Expo (incl. ACE Auction & ACE Forum),Monterey,Seaside / Monterey (Embassy Suites Monterey Bay),August,"August 10-12, 2026",Automotive / Expo,Moderate,,https://whatsupmonterey.com/events,,,,,,
Carmel Car Week,Monterey,Carmel-by-the-Sea,August,"August 11-16, 2026",Automotive / Community,High,https://www.carmelcalifornia.com/carmel-car-week/,https://www.carmelcalifornia.com/annual-events-in-carmel-by-the-sea/,https://whatsupmonterey.com/events,,,,,
Motorlux,Monterey,"Monterey (Monterey Jet Center, Sky Park Dr)",August,"August 12, 2026",Automotive / Aviation Gala,Moderate,,https://allevents.in/monterey/august,https://whatsupmonterey.com/events,,,,,
RM Sotheby's Monterey Classic Car Auction (public previews),Monterey,Monterey (Monterey Conference Center),August,"August 12-15, 2026",Automotive / Auction,High,,https://www.oldmonterey.org/events,https://whatsupmonterey.com/events,,,,,
Rolex Monterey Motorsports Reunion,Monterey,Salinas / Monterey (WeatherTech Raceway Laguna Seca),August,"August 12-15, 2026",Motorsports / Historic Racing,Very High,https://weathertechraceway.com/,https://www.weathertechracing.com/2026-full-schedule,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://www.montereyhotel.com/local-events,,,,
Pebble Beach Concours d'Elegance,Monterey,Pebble Beach,August,"August 16, 2026",Automotive / Concours,Very High,,https://www.carmelcalifornia.com/annual-events-in-carmel-by-the-sea/,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://whatsupmonterey.com/events,,,,
Sand City West End Celebration,Monterey,Sand City,August,"August 22-23, 2026",Arts / Music / Community Festival,Moderate,https://westendcelebration.com/,https://www.montereyhotel.com/local-events,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,,,,,
California Turkish Arts & Culture Festival,Monterey,Monterey (Custom House Plaza),August,"August 29-30, 2026",Cultural Festival,Moderate,https://www.turkfestca.org/,https://whatsupmonterey.com/events,,,,,,
Monterey County Fair,Monterey,Monterey (Monterey County Fair & Event Center),September,"September 3-7, 2026",County Fair,Very High,https://montereycountyfair.com/monterey-county-fair/,https://www.seemonterey.com/event/monterey-county-fair/,https://www.montereyhotel.com/local-events,https://festivalnet.com/1481/Monterey-California/State-Fairs/Monterey-County-Fair,,,,
Festa Italia Monterey (93rd Annual),Monterey,Monterey (Custom House Plaza),September,"September 4-6, 2026",Cultural Festival,High,,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://whatsupmonterey.com/events,,,,,
INDYCAR Grand Prix of Monterey (NTT INDYCAR Series season finale),Monterey,Salinas (WeatherTech Raceway Laguna Seca),September,"September 4-6, 2026",Motorsports,Very High,https://weathertechraceway.com/,https://www.weathertechracing.com/2026-full-schedule,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,,,,,
Castroville Artichoke Festival,Monterey,Monterey (Monterey County Fairgrounds),September,"September 5, 2026",Food / Agricultural Festival,High,,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://www.seemonterey.com/events/annual-events/,,,,,
Monterey Bay Greek Festival,Monterey,Monterey (Custom House Plaza),September,,Cultural / Food Festival,Moderate,https://montereybaygreekfestival.wordpress.com/,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,,,,,https://www.facebook.com/mbgreekfestival/,
GRIDLIFE Laguna Festival,Monterey,Salinas (WeatherTech Raceway Laguna Seca),September,"September 18-20, 2026",Motorsports / Music Festival,High,https://weathertechraceway.com/,https://www.weathertechracing.com/2026-full-schedule,https://weathertechraceway.com/pages/tickets,,,,,
PURE Insurance Championship at Pebble Beach (PGA TOUR Champions),Monterey,Pebble Beach,September,"September 18-20, 2026",Golf / Sports,High,,https://www.seemonterey.com/wp-content/uploads/2026-Annual-Events-Monterey-County-CA.pdf,https://www.seemonterey.com/events/annual-events/,,,,,
The Great Sandcastle Contest (63rd Annual),Monterey,Carmel-by-the-Sea (Carmel Beach),September,"September 19, 2026",Community / Arts,Moderate,,https://www.carmelcalifornia.com/annual-events-in-carmel-by-the-sea/,https://whatsupmonterey.com/events,,,,,
